"","Data","RW","RL","Adversario","Resultados"
"1",2022-12-10," 11","13","KRÜ Esports","Lose"
"2",2022-12-09," 17","15","FUT Esports","Win"
"3",2022-09-11," 6","13","FNATIC","Lose"
"4",2022-09-10," 8","13","OpTic Gaming","Lose"
"5",2022-09-04," 13","5","EDward Gaming","Win"
"6",2022-08-14," 8","13","M3 Champions","Lose"
"7",2022-08-13," 10","13","G2 Esports","Lose"
"8",2022-08-13," 8","13","M3 Champions","Lose"
"9",2022-06-19," 6","13","M3 Champions","Lose"
"10",2022-06-03," 11","13","Natus Vincere","Lose"
"11",2022-03-13," 14","12","BIG","Win"
"12",2022-02-20," 10","13","Natus Vincere","Lose"
"13",2021-12-11," 6","13","Acend","Lose"
"14",2021-12-08," 13","10","Cloud9","Win"
"15",2021-12-04," 2","13","Sentinels","Lose"
"16",2021-11-07," 15","17","Acend","Lose"
"17",2021-10-16," 8","13","G2 Esports","Lose"
"18",2021-10-13," 13","6","Guild Esports","Win"
"19",2021-08-19," 3","13","Gambit Esports","Lose"
"20",2021-08-18," 13","7","forZe","Win"
"21",2021-08-12," 13","7","Natus Vincere","Win"
"22",2021-08-01," 13","6","Giants Gaming","Win"
"23",2021-07-31," 13","10","FNATIC","Win"
"24",2021-07-30," 4","13","Giants Gaming","Lose"
"25",2021-07-28," 11","13","Team Vitality","Lose"
"26",2021-07-07," 13","9","FNATIC","Win"
"27",2021-05-29," 10","13","FNATIC","Lose"
"28",2021-05-02," 7","13","FNATIC","Lose"
"29",2021-04-29," 13","5","FunPlus Phoenix","Win"
"30",2021-04-23," 13","6","BBL Esports","Win"
"31",2021-04-18," 6","13","FNATIC","Lose"
"32",2021-04-17," 15","13","Team BDS","Win"
"33",2021-04-16," 13","1","CE Calling","Win"
"34",2021-04-12," 13","3","Ninjas in Pyjamas","Win"
"35",2021-04-11," 13","3","1234","Win"
"36",2021-04-10," 13","11","Team Gravity","Win"
"37",2021-04-10," 13","0","FDP Esports","Win"
"38",2021-04-01," 8","13","Guild Esports","Lose"
"39",2021-03-30," 13","3","Progress","Win"
"40",2021-03-30," 13","3","Taunt","Win"
"41",2021-03-03," 4","13","Rix.GG Thunder","Lose"
"42",2021-03-03," 13","2","PowerHouse","Win"
"43",2021-03-02," 13","2","Nexus Gaming","Win"
"44",2021-01-31," 3","13","G2 Esports","Lose"
"45",2021-01-30," 5","13","SUMN FC","Lose"
"46",2020-12-03," 13","15","Team Heretics","Lose"
"47",2020-11-10," 13","11","Finest","Win"
"48",2020-11-10," 13","4","B7 Warriors","Win"
"49",2020-11-09," 13","7","Eazy One Gaming","Win"
"50",2020-09-13," 11","13","FunPlus Phoenix","Lose"
"51",2020-09-11," 8","13","FunPlus Phoenix","Lose"
"52",2020-08-28," 11","13","SKADE","Lose"
"53",2020-08-28," 13","10","SKADE","Win"
"54",2020-08-16," 11","13","FunPlus Phoenix","Lose"
"55",2020-08-16," 13","7","Ninjas in Pyjamas","Win"
"56",2020-08-14," 13","8","Ninjas in Pyjamas","Win"
"57",2020-08-11," 12","14","FunPlus Phoenix","Lose"
"58",2022-12-09," 5","13","100 Thieves","Lose"
"59",2022-09-11," 7","13","FNATIC","Lose"
"60",2022-09-07," 15","13","Paper Rex","Win"
"61",2022-08-31," 10","13","Leviatán","Lose"
"62",2022-08-13," 13","8","G2 Esports","Win"
"63",2022-06-17," 12","14","FunPlus Phoenix","Lose"
"64",2022-06-03," 13","11","Natus Vincere","Win"
"65",2022-04-16," 13","4","ZETA DIVISION","Win"
"66",2022-04-14," 13","3","LOUD","Win"
"67",2022-03-23," 9","13","FunPlus Phoenix","Lose"
"68",2022-03-22," 13","8","G2 Esports","Win"
"69",2022-03-12," 7","13","FunPlus Phoenix","Lose"
"70",2022-03-06," 13","8","LDN UTD","Win"
"71",2022-02-20," 13","9","Natus Vincere","Win"
"72",2021-12-02," 13","5","KRÜ Esports","Win"
"73",2021-11-04," 13","5","BIG","Win"
"74",2021-10-17," 5","13","Guild Esports","Lose"
"75",2021-10-16," 13","9","G2 Esports","Win"
"76",2021-10-11," 13","9","One Breath Gaming","Win"
"77",2021-08-14," 13","1","Oxygen Esports","Win"
"78",2021-07-31," 15","13","FNATIC","Win"
"79",2021-07-29," 13","10","TENSTAR","Win"
"80",2021-07-08," 9","13","FunPlus Phoenix","Lose"
"81",2021-07-07," 14","12","Team BDS","Win"
"82",2021-07-07," 10","13","FNATIC","Lose"
"83",2021-07-01," 13","9","Alliance","Win"
"84",2021-05-28," 13","5","Team Vikings","Win"
"85",2021-05-25," 4","13","Version1","Lose"
"86",2021-05-02," 3","13","FNATIC","Lose"
"87",2021-05-01," 13","0","Oxygen Esports","Win"
"88",2021-04-29," 13","7","FunPlus Phoenix","Win"
"89",2021-04-23," 6","13","BBL Esports","Lose"
"90",2021-04-17," 11","13","Team BDS","Lose"
"91",2021-04-12," 9","13","Ninjas in Pyjamas","Lose"
"92",2021-04-12," 13","11","Alliance","Win"
"93",2021-04-11," 13","4","Entropiq","Win"
"94",2021-04-11," 13","2","1234","Win"
"95",2021-04-10," 13","2","Team Gravity","Win"
"96",2021-04-01," 11","13","Guild Esports","Lose"
"97",2021-03-31," 13","1","SAW","Win"
"98",2021-03-31," 13","1","couchless","Win"
"99",2021-03-03," 13","7","PowerHouse","Win"
"100",2021-03-02," 13","1","Nexus Gaming","Win"
"101",2021-02-17," 13","7","Alliance","Win"
"102",2021-02-17," 14","12","Megastitut","Win"
"103",2021-02-16," 13","5","Raptor Esport","Win"
"104",2021-02-07," 13","15","FunPlus Phoenix","Lose"
"105",2021-02-05," 13","4","HEET","Win"
"106",2021-02-04," 13","4","Rulers Esports","Win"
"107",2021-02-04," 13","2","Celestial Esports","Win"
"108",2021-01-31," 13","11","G2 Esports","Win"
"109",2021-01-30," 12","14","SUMN FC","Lose"
"110",2020-09-12," 13","9","Ninjas in Pyjamas","Win"
"111",2020-08-28," 7","13","bonk","Lose"
"112",2020-08-15," 13","8","G2 Esports","Win"
"113",2020-08-14," 13","10","Ninjas in Pyjamas","Win"
"114",2020-08-13," 13","8","BBL Esports","Win"
"115",2020-08-12," 13","4","ex-Giants Gaming","Win"
"116",2020-08-11," 13","11","FunPlus Phoenix","Win"
"117",2022-06-17," 8","13","FunPlus Phoenix","Lose"
"118",2022-06-03," 16","14","Natus Vincere","Win"
"119",2022-05-27," 3","13","Guild Esports","Lose"
"120",2022-05-20," 13","9","BBL Esports","Win"
"121",2022-05-14," 13","7","BIG","Win"
"122",2022-04-16," 7","13","ZETA DIVISION","Lose"
"123",2022-04-11," 13","7","XERXIA Esports","Win"
"124",2022-03-25," 4","13","G2 Esports","Lose"
"125",2022-03-23," 10","13","FunPlus Phoenix","Lose"
"126",2022-03-22," 13","9","G2 Esports","Win"
"127",2022-03-13," 13","6","BIG","Win"
"128",2022-03-06," 13","10","LDN UTD","Win"
"129",2022-02-20," 13","10","Natus Vincere","Win"
"130",2021-12-11," 5","13","Acend","Lose"
"131",2021-12-04," 13","10","Sentinels","Win"
"132",2021-11-07," 15","13","Acend","Win"
"133",2021-11-05," 13","6","FNATIC","Win"
"134",2021-10-17," 13","7","Guild Esports","Win"
"135",2021-10-13," 13","8","Guild Esports","Win"
"136",2021-08-19," 13","11","Gambit Esports","Win"
"137",2021-08-12," 11","13","Natus Vincere","Lose"
"138",2021-07-31," 11","13","FNATIC","Lose"
"139",2021-07-30," 5","13","Giants Gaming","Lose"
"140",2021-07-28," 13","3","Team Vitality","Win"
"141",2021-07-07," 14","12","Team BDS","Win"
"142",2021-05-27," 13","2","KRÜ Esports","Win"
"143",2021-05-25," 16","14","Version1","Win"
"144",2021-05-02," 13","7","FNATIC","Win"
"145",2021-04-18," 4","13","FNATIC","Lose"
"146",2021-04-12," 13","5","Ninjas in Pyjamas","Win"
"147",2021-03-31," 13","11","SAW","Win"
"148",2021-03-03," 14","16","Rix.GG Thunder","Lose"
"149",2021-03-02," 13","7","Lunaris","Win"
"150",2021-02-17," 9","13","Alliance","Lose"
"151",2021-02-07," 15","17","FunPlus Phoenix","Lose"
"152",2021-01-31," 6","13","G2 Esports","Lose"
"153",2021-01-30," 13","8","SUMN FC","Win"
"154",2020-12-03," 7","13","Team Heretics","Lose"
"155",2020-11-14," 13","5","Prodigy","Win"
"156",2020-11-13," 13","7","HSDIRR","Win"
"157",2020-11-13," 13","1","Kamil Klein new chapter","Win"
"158",2020-09-11," 7","13","FunPlus Phoenix","Lose"
"159",2020-08-16," 9","13","G2 Esports","Lose"
"160",2020-08-13," 13","6","BBL Esports","Win"
"161",2020-08-12," 13","1","ex-Giants Gaming","Win"
"162",2022-12-10," 9","13","KRÜ Esports","Lose"
"163",2022-12-09," 13","7","Team Heretics","Win"
"164",2022-12-09," 13","9","100 Thieves","Win"
"165",2022-09-10," 8","13","OpTic Gaming","Lose"
"166",2022-09-07," 13","8","Paper Rex","Win"
"167",2022-08-31," 10","13","Leviatán","Lose"
"168",2022-08-14," 13","6","M3 Champions","Win"
"169",2022-08-08," 13","11","BBL Esports","Win"
"170",2022-04-14," 10","13","LOUD","Lose"
"171",2022-04-11," 17","15","XERXIA Esports","Win"
"172",2022-04-10," 16","14","KRÜ Esports","Win"
"173",2022-03-24," 13","8","Guild Esports","Win"
"174",2022-03-12," 6","13","FunPlus Phoenix","Lose"
"175",2021-12-08," 13","11","Cloud9","Win"
"176",2021-12-02," 13","8","KRÜ Esports","Win"
"177",2021-11-07," 13","11","Acend","Win"
"178",2021-11-06," 13","8","TENSTAR","Win"
"179",2021-10-17," 13","10","Guild Esports","Win"
"180",2021-10-16," 13","8","G2 Esports","Win"
"181",2021-10-11," 13","0","One Breath Gaming","Win"
"182",2021-08-01," 10","13","Giants Gaming","Lose"
"183",2021-07-31," 7","13","FNATIC","Lose"
"184",2021-07-08," 9","13","FunPlus Phoenix","Lose"
"185",2021-07-01," 6","13","Alliance","Lose"
"186",2021-06-30," 13","8","Finest","Win"
"187",2021-05-29," 10","13","FNATIC","Lose"
"188",2021-05-28," 13","8","Team Vikings","Win"
"189",2021-05-27," 13","9","KRÜ Esports","Win"
"190",2021-05-25," 11","13","Version1","Lose"
"191",2021-05-02," 13","9","FNATIC","Win"
"192",2021-05-01," 13","3","Oxygen Esports","Win"
"193",2021-04-23," 13","8","BBL Esports","Win"
"194",2021-04-18," 13","10","FNATIC","Win"
"195",2021-04-17," 13","6","Team BDS","Win"
"196",2021-04-16," 13","8","CE Calling","Win"
"197",2021-04-12," 13","9","Alliance","Win"
"198",2021-04-11," 13","4","Entropiq","Win"
"199",2021-04-10," 13","4","FDP Esports","Win"
"200",2021-03-31," 13","3","couchless","Win"
"201",2021-03-30," 13","4","Progress","Win"
"202",2021-03-30," 13","0","Taunt","Win"
"203",2021-03-03," 13","8","Rix.GG Thunder","Win"
"204",2021-03-02," 13","2","Lunaris","Win"
"205",2021-02-17," 13","5","Megastitut","Win"
"206",2021-02-16," 13","1","Raptor Esport","Win"
"207",2021-02-05," 13","5","YAZDA","Win"
"208",2021-02-04," 13","9","Ingenuity","Win"
"209",2021-01-31," 10","13","G2 Esports","Lose"
"210",2021-01-30," 13","6","SUMN FC","Win"
"211",2021-01-29," 13","9","Guild Esports","Win"
"212",2020-12-03," 13","10","Team Heretics","Win"
"213",2020-11-14," 13","11","Prodigy","Win"
"214",2020-09-13," 11","13","FunPlus Phoenix","Lose"
"215",2020-09-12," 13","5","Ninjas in Pyjamas","Win"
"216",2020-08-15," 4","13","G2 Esports","Lose"
"217",2022-12-09," 13","7","Team Heretics","Win"
"218",2022-12-09," 13","10","FUT Esports","Win"
"219",2022-08-14," 13","11","M3 Champions","Win"
"220",2022-08-13," 13","10","G2 Esports","Win"
"221",2022-08-13," 16","18","M3 Champions","Lose"
"222",2022-08-08," 13","1","BBL Esports","Win"
"223",2022-06-19," 13","10","M3 Champions","Win"
"224",2022-06-17," 13","8","FunPlus Phoenix","Win"
"225",2022-06-10," 13","8","M3 Champions","Win"
"226",2022-05-27," 13","6","Guild Esports","Win"
"227",2022-05-14," 13","5","BIG","Win"
"228",2022-04-14," 10","13","LOUD","Lose"
"229",2022-04-11," 11","13","XERXIA Esports","Lose"
"230",2022-03-25," 4","13","G2 Esports","Lose"
"231",2022-03-22," 13","15","G2 Esports","Lose"
"232",2022-02-11," 9","13","Gambit Esports","Lose"
"233",2021-11-06," 13","9","TENSTAR","Win"
"234",2021-11-05," 13","8","FNATIC","Win"
"235",2021-08-19," 14","16","Gambit Esports","Lose"
"236",2021-08-12," 10","13","Natus Vincere","Lose"
"237",2021-08-01," 13","5","Giants Gaming","Win"
"238",2021-05-02," 13","7","FNATIC","Win"
"239",2021-04-18," 10","13","FNATIC","Lose"
"240",2021-02-17," 1","13","Alliance","Lose"
"241",2021-02-05," 13","8","HEET","Win"
"242",2021-02-05," 13","3","YAZDA","Win"
"243",2021-01-31," 14","12","G2 Esports","Win"
"244",2021-01-30," 13","7","SUMN FC","Win"
"245",2021-01-29," 13","6","Guild Esports","Win"
"246",2022-12-09," 11","13","100 Thieves","Lose"
"247",2022-09-10," 13","7","OpTic Gaming","Win"
"248",2022-09-04," 14","12","EDward Gaming","Win"
"249",2022-08-14," 13","8","M3 Champions","Win"
"250",2022-08-13," 13","8","M3 Champions","Win"
"251",2022-08-10," 13","9","Natus Vincere","Win"
"252",2022-03-24," 13","11","Guild Esports","Win"
"253",2022-02-11," 8","13","Gambit Esports","Lose"
"254",2021-12-04," 14","12","Sentinels","Win"
"255",2021-11-07," 13","11","Acend","Win"
"256",2021-11-04," 13","2","FUT Esports","Win"
"257",2021-10-17," 13","7","Guild Esports","Win"
"258",2021-08-18," 13","10","forZe","Win"
"259",2021-08-14," 13","3","Oxygen Esports","Win"
"260",2021-08-01," 13","10","Giants Gaming","Win"
"261",2021-07-31," 13","10","FNATIC","Win"
"262",2021-07-29," 14","12","TENSTAR","Win"
"263",2021-07-28," 13","9","Team Vitality","Win"
"264",2021-07-07," 11","13","FNATIC","Lose"
"265",2021-07-01," 13","5","Alliance","Win"
"266",2021-06-30," 15","13","Finest","Win"
"267",2022-08-10," 13","11","Natus Vincere","Win"
"268",2022-06-19," 7","13","M3 Champions","Lose"
"269",2022-06-10," 13","7","M3 Champions","Win"
"270",2022-05-27," 4","13","Guild Esports","Lose"
"271",2022-05-20," 16","14","BBL Esports","Win"
"272",2022-04-16," 7","13","ZETA DIVISION","Lose"
"273",2022-04-10," 13","5","KRÜ Esports","Win"
"274",2021-11-04," 13","6","G2 Esports","Win"
"275",2022-09-07," 4","13","Paper Rex","Lose"
